index,word,file,exists,width,height,bytes
1,Mango,Mango.png,True,1024,1024,590664
2,Kiwi,Kiwi.png,True,1024,1024,703107
3,Plum,Plum.png,True,1024,1024,625269
4,Blueberry,Blueberry.png,True,1024,1024,676540
5,Chestnut,Chestnut.png,True,1024,1024,709418
6,Walnut,Walnut.png,True,1024,1024,848144
7,Peanut,Peanut.png,True,1024,1024,771034
8,Almond,Almond.png,True,1024,1024,718774
9,Cabbage,Cabbage.png,True,1024,1024,734052
10,Lettuce,Lettuce.png,True,1024,1024,855942
11,Spinach,Spinach.png,True,1024,1024,444427
12,Pumpkin,Pumpkin.png,True,1024,1024,379484
13,Garlic,Garlic.png,True,1024,1024,352195
14,Mushroom,Mushroom.png,True,1024,1024,346764
15,Cucumber,Cucumber.png,True,1024,1024,334398
16,Ham,Ham.png,True,1024,1024,444577
17,Shrimp,Shrimp.png,True,1024,1024,369143
18,Tuna,Tuna.png,True,1024,1024,365449
19,Seaweed,Seaweed.png,True,1024,1024,531738
20,Tofu,Tofu.png,True,1024,1024,297047
21,Dumpling,Dumpling.png,True,1024,1024,330607
22,Pancake,Pancake.png,True,1024,1024,514329
23,Yogurt,Yogurt.png,True,1024,1024,330340
24,Flour,Flour.png,True,1024,1024,483043
25,Pepper,Pepper.png,True,1024,1024,352695
26,Sauce,Sauce.png,True,1024,1024,225963
27,Stew,Stew.png,True,1024,1024,438810
28,Cereal,Cereal.png,True,1024,1024,516481
29,Squirrel,Squirrel.png,True,1024,1024,440817
30,Rat,Rat.png,True,1024,1024,334659
31,Hamster,Hamster.png,True,1024,1024,398147
32,Crocodile,Crocodile.png,True,1024,1024,417959
33,Jellyfish,Jellyfish.png,True,1024,1024,428250
34,Starfish,Starfish.png,True,1024,1024,373335
35,Seal,Seal.png,True,1024,1024,378431
36,Crow,Crow.png,True,1024,1024,370943
37,Sparrow,Sparrow.png,True,1024,1024,421353
38,Pigeon,Pigeon.png,True,1024,1024,383929
39,Parrot,Parrot.png,True,1024,1024,384382
40,Peacock,Peacock.png,True,1024,1024,672899
41,Swan,Swan.png,True,1024,1024,347551
42,Goose,Goose.png,True,1024,1024,285125
43,Hippo,Hippo.png,True,1024,1024,374364
44,Snail,Snail.png,True,1024,1024,377011
45,Worm,Worm.png,True,1024,1024,331467
46,Beetle,Beetle.png,True,1024,1024,344531
47,Grasshopper,Grasshopper.png,True,1024,1024,404932
48,Dragonfly,Dragonfly.png,True,1024,1024,384654
49,Firefly,Firefly.png,True,1024,1024,308602
50,Mosquito,Mosquito.png,True,1024,1024,366580
51,Caterpillar,Caterpillar.png,True,1024,1024,371060
52,Moth,Moth.png,True,1024,1024,453440
53,Ladybug,Ladybug.png,True,1024,1024,333261
54,Wing,Wing.png,True,1024,1024,371339
55,Tail,Tail.png,True,1024,1024,308801
56,Paw,Paw.png,True,1024,1024,398341
57,Nephew,Nephew.png,True,1024,1024,433513
58,Niece,Niece.png,True,1024,1024,480036
59,Twin,Twin.png,True,1024,1024,427091
60,Kid,Kid.png,True,1024,1024,291762
61,Classmate,Classmate.png,True,1024,1024,327961
62,Roommate,Roommate.png,True,1024,1024,392586
63,Grandchild,Grandchild.png,True,1024,1024,286307
